sentence_en,start,end,duration,talks_id
The next two decades are decisive ,358.816,362.029,3.213,2093
for what we have to do. ,362.029,364.744,2.715,2093
"Now, the more I've thought about this, ",364.744,366.263,1.519,2093
"the two transformations coming together, ",366.263,368.367,2.104,2093
the more I've come to realize ,368.367,369.914,1.547,2093
that this is an enormous opportunity. ,369.914,372.866,2.952,2093
It's an opportunity which we can use ,372.866,375.093,2.227,2093
or it's an opportunity which we can lose. ,375.093,378.49,3.397,2093
And let me explain through those three key areas ,378.49,381.213,2.723,2093
"that I've identified: cities, energy and land. ",381.213,383.923,2.71,2093
And let me start with cities. ,383.923,385.977,2.054,2093
I've already described the problems of Beijing: ,385.977,390.01,4.033,2093
"pollution, congestion, waste and so on. ",390.01,392.856,2.846,2093
Surely we recognize that in many of our cities ,392.856,396.546,3.69,2093
around the world. ,396.546,397.805,1.259,2093
"Now, with cities, like life but particularly cities, ",397.805,400.73,2.925,2093
you have to think ahead. ,400.73,403.794,3.064,2093
The cities that are going to be built ??,403.794,405.208,1.414,2093
"and there are many, and many big ones ??",405.208,407.364,2.156,2093
we have to think of how to design them ,407.364,408.828,1.464,2093
in a compact way ,408.828,410.179,1.351,2093
so we can save travel time  and we can save energy.,410.179,413.622,3.443,2093
"The cities that already are  there, well established,",413.622,417.537,3.915,2093
we have to think about renewal and investment in them,417.537,420.608,3.071,2093
so that we can connect ourselves much better ,420.608,423.386,2.778,2093
"within those cities, and make it easier, ",423.386,425.778,2.392,2093
"encourage more people, to live closer to the center. ",425.778,429.369,3.591,2093
We've got examples building around the world ,429.369,431.779,2.41,2093
of the kinds of ways in which we can do that. ,431.779,434.071,2.292,2093
The bus rapid transport system in Bogotá in Colombia ,434.071,438.089,4.018,2093
is a very important case of how to move around ,438.089,440.721,2.632,2093
safely and quickly in a non-polluting way ,440.721,443.291,2.57,2093
"in a city: very frequent buses, ",443.291,446.486,3.195,2093
"strongly protected routes, the same service, really, ",446.486,449.423,2.937,2093
"as an underground railway system, ",449.423,451.514,2.091,2093
"but much, much cheaper ",451.514,453.325,1.811,2093
"and can be done much more quickly, ",453.325,455.733,2.408,2093
a brilliant idea in many more cities ,455.733,457.628,1.895,2093
around the world that's developing. ,457.628,459.664,2.036,2093
"Now, some things in cities do take time. ",459.664,461.565,1.901,2093
Some things in cities can happen much more quickly. ,461.565,464.618,3.053,2093
"Take my hometown, London. ",464.618,466.722,2.104,2093
"In 1952, smog in London killed 4,000 people ",466.722,472.01,5.288,2093
"and badly damaged the lives of many, many more. ",472.01,474.704,2.694,2093
And it happened all the time. ,474.704,476.054,1.35,2093
For those of you live outside London in the U.K. ,476.054,478.556,2.502,2093
will remember it used to be called The Smoke. ,478.556,480.749,2.193,2093
That's the way London was. ,480.749,482.425,1.676,2093
"By regulating coal, within a few years ",482.425,484.507,2.082,2093
the problems of smog were rapidly reduced. ,484.507,487.595,3.088,2093
I remember the smogs well. ,487.595,489.15,1.555,2093
When the visibility dropped to [less] than ,489.15,491.873,2.723,2093
"a few meters, ",491.873,493.866,1.993,2093
they stopped the buses and I had to walk. ,493.866,495.722,1.856,2093
This was the 1950s. ,495.722,497.78,2.058,2093
I had to walk home three miles from school. ,497.78,501.678,3.898,2093
"Again, breathing was a hazardous activity. ",501.678,505.247,3.569,2093
But it was changed. It was changed by a decision. ,505.247,507.925,2.678,2093
"Good decisions can bring good results, ",507.925,511.094,3.169,2093
"striking results, quickly. ",511.094,513.459,2.365,2093
"We've seen more: In London, we've introduced the congestion charge,",513.459,516.452,2.993,2093
"actually quite quickly and effectively, ",516.452,519.158,2.706,2093
and we've seen great improvements ,519.158,520.778,1.62,2093
"in the bus system, and cleaned up the bus system. ",520.778,524.74,3.962,2093
"You can see that the two transformations I've described,",524.74,527.86,3.12,2093
"the structural and the climate, ",527.86,529.816,1.956,2093
come very much together. ,529.816,532.448,2.632,2093
"But we have to invest. We have to invest in our cities, ",532.448,535.381,2.933,2093
"and we have to invest wisely, and if we do, ",535.381,537.914,2.533,2093
"we'll see cleaner cities, quieter cities, safer cities, ",537.914,542.45,4.536,2093
"more attractive cities, more productive cities, ",542.45,545.107,2.657,2093
and stronger community in those cities ??,545.107,547.874,2.767,2093
"public transport, recycling, reusing, ",547.874,550.122,2.248,2093
all sorts of things that bring communities together. ,550.122,554.171,4.049,2093
"We can do that, but we have to think, ",554.171,556.028,1.857,2093
"we have to invest, we have to plan. ",556.028,558.308,2.28,2093
Let me turn to energy. ,558.308,560.479,2.171,2093
"Now, energy over the last 25 years ",560.479,563.701,3.222,2093
has increased by about 50 percent. ,563.701,565.937,2.236,2093
Eighty percent of that comes from fossil fuels. ,565.937,568.554,2.617,2093
"Over the next 20 years, ",568.554,570.212,1.658,2093
perhaps it will increase by another 40 percent or so. ,570.212,573.988,3.776,2093
"We have to invest strongly in energy, ",573.988,576.522,2.534,2093
"we have to use it much more efficiently, ",576.522,579.796,3.274,2093
and we have to make it clean. ,579.796,581.484,1.688,2093
We can see how to do that. ,581.484,582.814,1.33,2093
Take the example of California. ,582.814,584.718,1.904,2093
It would be in the top 10 countries in the world ,584.718,587.328,2.61,2093
if it was independent. ,587.328,589.871,2.543,2093
I don't want to start any ??,589.871,592.436,2.565,2093
(Laughter) ,592.436,595.934,3.498,2093
California's a big place. ,595.934,597.779,1.845,2093
(Laughter) ,597.779,599.827,2.048,2093
"In the next five or six years, ",599.827,602.568,2.741,2093
they will likely move from ,602.568,605.282,2.714,2093
around 20 percent in renewables ??,605.282,607.521,2.239,2093
"wind, solar and so on ??",607.521,609.278,1.757,2093
"to over 33 percent, ",609.278,611.751,2.473,2093
and that would bring California back ,611.751,614.19,2.439,2093
to greenhouse gas emissions in 2020 ,614.19,616.723,2.533,2093
"to where they were in 1990, ",616.723,618.68,1.957,2093
a period when the economy in California ,618.68,620.424,1.744,2093
would more or less have doubled. ,620.424,621.856,1.432,2093
That's a striking achievement. ,621.856,623.306,1.45,2093
It shows what can be done. ,623.306,624.789,1.483,2093
Not just California ??the  incoming government of India,624.789,628.096,3.307,2093
is planning to get solar technology ,628.096,631.122,3.026,2093
to light up the homes ,631.122,632.494,1.372,2093
of 400 million people ,632.494,634.204,1.71,2093
who don't have electricity in India. ,634.204,636.269,2.065,2093
They've set themselves a target of five years. ,636.269,638.749,2.48,2093
I think they've got a good chance of doing that. ,638.749,641.978,3.229,2093
"We'll see, but what you're seeing now ",641.978,644.637,2.659,2093
is people moving much more quickly. ,644.637,646.948,2.311,2093
"Four hundred million, more than the population ",646.948,648.682,1.734,2093
of the United States. ,648.682,650.808,2.126,2093
Those are the kinds of ambitions now ,650.808,652.901,2.093,2093
people are setting themselves ,652.901,654.607,1.706,2093
in terms of rapidity of change. ,654.607,659.087,4.48,2093
"Again, you can see ",659.087,661.057,1.97,2093
"good decisions can bring quick results, ",661.057,662.838,1.781,2093
"and those two transformations, the economy and the structure",662.838,665.871,3.033,2093
"and the climate and the low carbon, ",665.871,667.862,1.991,2093
are intimately intertwined. ,667.862,670.405,2.543,2093
"Do the first one well, the structural, ",670.405,672.227,1.822,2093
the second one on the climate ,672.227,674.208,1.981,2093
becomes much easier. ,674.208,677.39,3.182,2093
"Look at land, ",677.39,679.179,1.789,2093
land and particularly forests. ,679.179,681.767,2.588,2093
Forests are the hosts to valuable ,681.767,684.827,3.06,2093
plant and animal species. ,684.827,687.356,2.529,2093
They hold water in the soil ,687.356,689.704,2.348,2093
"and they take carbon dioxide out of the atmosphere, ",689.704,692.622,2.918,2093
fundamental to the tackling of climate change. ,692.622,695.691,3.069,2093
But we're losing our forests. ,695.691,697.923,2.232,2093
"In the last decade, we've lost a forest area ",697.923,700.75,2.827,2093
"the size of Portugal, ",700.75,702.893,2.143,2093
and much more has been degraded. ,702.893,705.356,2.463,2093
But we're already seeing ,705.356,707.111,1.755,2093
that we can do so much about that. ,707.111,709.518,2.407,2093
"We can recognize the problem, but we can also ",709.518,711.555,2.037,2093
understand how to tackle it. ,711.555,713.669,2.114,2093
"In Brazil, the rate of deforestation ",713.669,716.324,2.655,2093
has been reduced by 70 percent ,716.324,718.341,2.017,2093
over the last 10 years. ,718.341,720.903,2.562,2093
"How? By involving local communities, ",720.903,723.888,2.985,2093
"investing in their agriculture and their economies, ",723.888,726.709,2.821,2093
"by monitoring more carefully, ",726.709,728.809,2.1,2093
by enforcing the law more strictly. ,728.809,732.454,3.645,2093
And it's not just stopping deforestation. ,732.454,734.344,1.89,2093
"That's of course of first and fundamental importance, ",734.344,736.785,2.441,2093
"but it's also regrading degraded land, ",736.785,740.407,3.622,2093
"regenerating, rehabilitating degraded land. ",740.407,744.807,4.4,2093
I first went to Ethiopia in 1967. ,744.807,748.687,3.88,2093
"It was desperately poor. In the following years, ",748.687,751.162,2.475,2093
it suffered devastating famines ,751.162,752.908,1.746,2093
and profoundly destructive social conflict. ,752.908,756.764,3.856,2093
"Over the last few years, actually more than a few, ",756.764,759.598,2.834,2093
Ethiopia has been growing much more rapidly. ,759.598,762.523,2.925,2093
It has ambitions to be a middle-income country ,762.523,764.413,1.89,2093
15 years from now ,764.413,766.918,2.505,2093
and to be carbon neutral. ,766.918,769.161,2.243,2093
"Again, I think it's a strong ambition ",769.161,772.209,3.048,2093
but it is a plausible one. ,772.209,774.504,2.295,2093
You're seeing that commitment there. ,774.504,775.915,1.411,2093
You're seeing what can be done. ,775.915,777.181,1.266,2093
Ethiopia is investing in clean energy. ,777.181,779.746,2.565,2093
It's working in the rehabilitation of land. ,779.746,783.368,3.622,2093
"In Humbo, in southwest Ethiopia, ",783.368,785.798,2.43,2093
a wonderful project ,785.798,787.215,1.417,2093
to plant trees on degraded land ,787.215,789.398,2.183,2093
and work with local communities ,789.398,791.018,1.62,2093
on sustainable forest management ,791.018,793.467,2.449,2093
has led to big increases in living standards. ,793.467,796.508,3.041,2093
"So we can see, from Beijing to London, ",796.508,800.372,3.864,2093
"from California to India, ",800.372,802.661,2.289,2093
"from Brazil to Ethiopia, ",802.661,805.788,3.127,2093
we do understand ,805.788,807.397,1.609,2093
"how to manage those two transformations, ",807.397,809.602,2.205,2093
the structural and the climate. ,809.602,811.531,1.929,2093
We do understand how to manage those well. ,811.531,815.71,4.179,2093
And technology is changing very rapidly. ,815.71,818.488,2.778,2093
I don't have to list all those things ,818.488,820.895,2.407,2093
"to an audience like this, ",820.895,822.786,1.891,2093
"but you can see the electric cars, ",822.786,825.08,2.294,2093
you can see the batteries using new materials. ,825.08,828.164,3.084,2093
You can see that we can manage remotely now ,828.164,830.559,2.395,2093
our household appliances on our mobile phones when we're away.,830.559,834.114,3.555,2093
You can see better insulation. ,834.114,835.921,1.807,2093
And there's much more coming. ,835.921,837.844,1.923,2093
"But, and it's a big but, ",837.844,840.241,2.397,2093
the world as a whole ,840.241,841.85,1.609,2093
is moving far too slowly. ,841.85,844.628,2.778,2093
We're not cutting emissions in the way we should. ,844.628,847.17,2.542,2093
We're not managing those structural transformations ,847.17,849.881,2.711,2093
as we can. ,849.881,852.11,2.229,2093
The depth of understanding of the immense risks of climate change,852.11,855.349,3.239,2093
are not there yet. ,855.349,858.928,3.579,2093
The depth of understanding ,858.928,861.059,2.131,2093
of the attractiveness of what we can do ,861.059,863.544,2.485,2093
is not there yet. ,863.544,867.208,3.664,2093
We need political pressure to build. ,867.208,870.706,3.498,2093
We need leaders to step up. ,870.706,874.238,3.532,2093
"We can have better growth, ",874.238,877.737,3.499,2093
"better climate, a better world. ",877.737,881.944,4.207,2093
"We can make, ",881.944,883.756,1.812,2093
"by managing those two transformations well, ",883.756,886.536,2.78,2093
the next 100 years the best of centuries. ,886.536,890.824,4.288,2093
"If we make a mess of it, ",890.824,892.051,1.227,2093
"we, you and me, if we make a mess of it, ",892.051,895.198,3.147,2093
"if we don't manage those transformations properly, ",895.198,897.671,2.473,2093
"it will be, the next 100 years ",897.671,900.562,2.891,2093
will be the worst of centuries. ,900.562,903.293,2.731,2093
That's the major conclusion ,903.293,905.185,1.892,2093
of the report on the economy and climate ,905.185,908.316,3.131,2093
"chaired by ex-President Felipe Calderón of Mexico, ",908.316,912.185,3.869,2093
"and I co-chaired that with him, ",912.185,914.365,2.18,2093
and we handed that report yesterday ,914.365,916.318,1.953,2093
"here in New York, in the United Nations Building ",916.318,919.308,2.99,2093
"to the Secretary-General of the U.N., ",919.308,920.78,1.472,2093
Ban Ki-moon. ,920.78,922.046,1.266,2093
We know that we can do this. ,922.046,926.151,4.105,2093
"Now, two weeks ago, ",926.151,929.533,3.382,2093
I became a grandfather for the fourth time. ,929.533,932.933,3.4,2093
Our daughter ??,932.933,935.065,2.132,2093
(Baby cries) (Laughter) (Applause) ??,935.065,945.668,10.603,2093
Our daughter gave birth to Rosa here in New York ,945.668,948.579,2.911,2093
two weeks ago. Here are Helen and Rosa. ,948.579,951.584,3.005,2093
(Applause) ,951.584,956.073,4.489,2093
Two weeks old. ,958.828,961.796,2.968,2093
Are we going to look our grandchildren in the eye ,961.796,967.483,5.687,2093
"and tell them that we understood the issues, ",967.483,971.23,3.747,2093
"that we recognized the dangers and the opportunities, ",971.23,974.548,3.318,2093
and still we failed to act? ,974.548,978.789,4.241,2093
Surely not. Let's make the next 100 years ,978.789,982.268,3.479,2093
the best of centuries. ,982.268,984.074,1.806,2093
"Over the past couple of days, ",25.802,27.191,1.389,21
"as I've been preparing for my speech, ",27.215,28.992,1.777,21
I've become more and more nervous about what I'm going to say,29.016,32.556,3.54,21
and about being on the same stage as all these fascinating people.,32.58,35.699,3.119,21
"Being on the same stage as Al Gore, who was the first person I ever voted for.",35.723,40.013,4.29,21
And -- ,40.037,41.197,1.16,21
(Laughter) ,41.221,44.834,3.613,21
So I was getting pretty nervous ,44.858,46.648,1.79,21
"and, you know, I didn't know that Chris sits on the stage,",46.672,49.477,2.805,21
and that's more nerve-racking. ,49.501,50.985,1.484,21
But then I started thinking about my family.,51.009,53.065,2.056,21
I started thinking about my father and my grandfather,53.089,55.834,2.745,21
"and my great-grandfather, ",55.858,57.921,2.063,21
and I realized ,57.945,59.613,1.668,21
that I had all of these Teds going through my bloodstream --,59.637,63.883,4.246,21
(Laughter) ,63.907,65.305,1.398,21
"that I had to consider this ""my element."" ",65.329,68.834,3.505,21
"So, who am I? ",68.858,71.235,2.377,21
Chris kind of mentioned I started a company with my husband.,71.259,74.888,3.629,21
We have about 125 people internationally. ,74.912,77.331,2.419,21
"If you looked in the book, ",77.355,78.834,1.479,21
you saw this ... ,78.858,80.442,1.584,21
(Laughter) ,80.466,81.735,1.269,21
which I really was appalled by. ,81.759,85.031,3.272,21
(Laughter) ,85.055,87.458,2.403,21
"And because I wanted to impress you all with slides,",87.482,90.834,3.352,21
"since I saw the great presentations yesterday with graphs,",90.858,93.596,2.738,21
"I made a graph that moves, ",93.62,95.938,2.318,21
and I talk about the makeup of me. ,95.962,98.834,2.872,21
(Laughter) ,98.858,102.204,3.346,21
"So, besides this freakish thing, ",102.228,104.281,2.053,21
this is my science slide. ,104.305,105.557,1.252,21
"This is math, and this is science, this is genetics.",105.581,108.149,2.568,21
"This is my grandmother, and this is where I get this mouth.",108.173,111.045,2.872,21
(Laughter) ,111.069,113.017,1.948,21
So -- ,113.041,114.297,1.256,21
"I'm a blogger, which, probably, to a lot of you, means different things.",115.021,119.077,4.056,21
"You may have heard about the Kryptonite lock brouhaha,",119.101,123.153,4.052,21
where a blogger talked about how you hack ,123.177,125.161,1.984,21
"or break into a Kryptonite lock using a ballpoint pen,",125.185,127.834,2.649,21
and it spread all over. ,127.858,129.207,1.349,21
"Kryptonite had to adjust the lock, ",129.231,131.197,1.966,21
and they had to address it to avoid too many customer concerns.,131.221,134.834,3.613,21
"You may have heard about Rathergate, ",134.858,136.833,1.975,21
which was basically the result of bloggers ,136.857,139.964,3.107,21
"realizing that the ""th"" in 111 ",139.988,144.008,4.02,21
is not typeset on an old typewriter; ,144.032,147.205,3.173,21
it's on Word. ,147.229,148.505,1.276,21
"Bloggers exposed this, ",148.529,150.242,1.713,21
or they worked hard to expose this. ,150.266,152.834,2.568,21
"You know, blogs are scary. This is what you see.",152.858,155.425,2.567,21
"I see this, and I'm sure scared -- I swear on stage -- shitless about blogs,",155.449,160.922,5.473,21
because this is not something that's friendly.,160.946,163.93,2.984,21
But there are blogs that are changing the way we read news,163.954,167.58,3.626,21
"and consume media, and these are great examples.",167.604,170.001,2.397,21
"These people are reaching thousands, ",170.025,172.31,2.285,21
"if not millions, of readers, ",172.334,174.18,1.846,21
and that's incredibly important. ,174.204,175.834,1.63,21
"During the hurricane, ",175.858,177.834,1.976,21
"you had MSNBC posting about the hurricane on their blog,",177.858,181.172,3.314,21
updating it frequently. ,181.196,182.538,1.342,21
This was possible because of the easy nature of blogging tools.,182.562,185.834,3.272,21
"You have my friend, ",185.858,187.573,1.715,21
"who has a blog on PVRs, personal recorders.",187.597,192.132,4.535,21
"He makes enough money just by running ads, ",192.156,194.426,2.27,21
to support his family up in Oregon. ,194.45,196.267,1.817,21
"That's all he does now, ",196.291,197.442,1.151,21
and this is something that blogs have made possible.,197.466,199.908,2.442,21
"And then you have something like this, which is Interplast.",199.932,202.716,2.784,21
It's a wonderful organization ,202.74,204.318,1.578,21
of people and doctors who go to developing nations,204.342,208.527,4.185,21
to offer plastic surgery to those who need it.,208.551,210.834,2.283,21
"Children with cleft palates get it, and they document their story.",210.858,214.52,3.662,21
This is wonderful. ,214.544,215.834,1.29,21
I am not that caring. ,215.858,218.834,2.976,21
(Laughter) ,218.858,221.585,2.727,21
I talk about myself. ,221.609,222.785,1.176,21
That's what I am. I'm a blogger. ,222.809,224.402,1.593,21
"I have always decided that I was going to be an expert on one thing,",224.426,227.955,3.529,21
"and I am an expert on this person, ",227.979,230.209,2.23,21
and so I write about it. ,230.233,232.398,2.165,21
"So, the short story about my blog: ",232.7,234.343,1.643,21
"it started in 2001, I was 23. ",234.367,236.518,2.151,21
"I wasn't happy with my job, ",236.542,238.266,1.724,21
"because I was a designer, ",238.29,239.742,1.452,21
but I wasn't being really stimulated. ,239.766,241.686,1.92,21
I was an English major in college. ,241.71,243.343,1.633,21
"I didn't have any use for it, but I missed writing.",243.367,246.042,2.675,21
"So, I started to write a blog ",246.066,247.7,1.634,21
and I started to create things like these little stories.,247.724,250.597,2.873,21
"This was an illustration about my camp experience when I was 11 years old,",250.621,254.834,4.213,21
"and how I went to a YMCA camp, Christian camp,",254.858,257.834,2.976,21
"and basically by the end, ",257.858,259.474,1.616,21
"I had made my friends hate me so much that I hid in a bunk,",259.498,264.378,4.88,21
"They couldn't find me, they sent a search party,",264.402,266.658,2.256,21
and I overheard people saying they wish I had killed myself --,266.682,269.659,2.977,21
jumped off Bible Peak. ,269.683,271.525,1.842,21
"You can laugh, this is OK. ",271.549,273.194,1.645,21
(Laughter) ,273.218,274.61,1.392,21
This is me. ,274.634,276.834,2.2,21
This is what happened to me. ,276.858,278.327,1.469,21
"And when I started my blog, it was really this one goal --",278.351,281.834,3.483,21
"I said, ""I am not going to be famous to the world,",281.858,287.554,5.696,21
"but I could be famous to people on the Internet.""",287.578,290.032,2.454,21
And I set a goal. ,290.056,291.216,1.16,21
"I said, ""I'm going to win an award,"" ",291.24,293.626,2.386,21
because I had never won an award in my entire life.,293.65,296.068,2.418,21
"And I said, ""I'm going to win the South by Southwest Weblog award.""",296.092,300.023,3.931,21
"And I won it -- I reached all of these people,",300.047,302.834,2.787,21
and I had tens of thousands of people reading about my life every day.,302.858,306.345,3.487,21
And then I wrote a post about a banjo. ,306.369,308.796,2.427,21
I wrote a post ,309.177,310.915,1.738,21
about wanting to buy a banjo -- ,310.939,313.495,2.556,21
"a $300 banjo, which is a lot of money. ",313.519,315.971,2.452,21
And I don't play instruments; ,316.471,318.154,1.683,21
I don't know anything about music. ,318.178,320.349,2.171,21
"I like music, and I like banjos, ",320.373,322.834,2.461,21
"and I think I probably heard Steve Martin playing,",322.858,325.238,2.38,21
"and I said, ""I could do that."" ",325.262,326.834,1.572,21
"And I said to my husband, ",326.858,328.151,1.293,21
"""Ben, can I buy a banjo?"" And he's like, ""No.""",328.175,330.365,2.19,21
And my husband -- ,330.389,331.62,1.231,21
(Laughter) ,331.644,332.806,1.162,21
"this is my husband, who is very hot -- ",332.83,334.874,2.044,21
he won an award for being hot. ,334.898,336.834,1.936,21
(Laughter) ,336.858,339.506,2.648,21
