sentence,start,end,duration
" And the limiting factor, there and here,  is not resources -- because they're plentiful --but knowledge, which is scarce. ",825.379,834.098,8.718999999999937
" Now, this cosmic knowledge-based view may -- and, I think, ought to --make us feel very special. ",834.5369999999999,842.87,8.333000000000084
" But it should also make us feel vulnerable, because it means that without the specific knowledge that's needed to survive the ongoing challenges of the universe,we won't survive them. ",842.894,853.834,10.93999999999994
" All it takes is for a supernova to go off a few light-years away, and we'll all be dead!  Martin Rees has recently written a book  about our vulnerability to all sorts of things, from astrophysics, to scientific experiments gone wrong,and most importantly, to terrorism with weapons of mass destruction.",853.858,873.293,19.43500000000006
 And he thinks that civilization has only a 50 percent chanceof surviving this century. ,873.317,878.11,4.793000000000006
I think he's going to talk about that later in the conference.,878.134,881.269,3.134999999999991
" Now, I don't think that probability is the right category to discuss this issue in,  but I do agree with him about this: we can survive and we can fail to survive. ",881.293,893.7819999999999,12.488999999999919
" But it depends, not on chance, but on whether we create the relevant knowledge in time.",894.423,900.834,6.4109999999999445
The danger is not at all unprecedented. ,900.858,903.66,2.802000000000021
Species go extinct all the time. ,903.684,906.905,3.2210000000000036
Civilizations end. ,906.929,909.184,2.2549999999999955
 The overwhelming majority of all species and all civilizations that have ever existed are now history. ,909.208,915.156,5.947999999999979
" And if we want to be the exception to that, then logically, our only hope is to make use of the one feature that distinguishes our species and civilization from all the others, namely, our special relationship with the laws of physics, our ability to create new explanations, new knowledge --to be a hub of existence. ",915.18,940.388,25.208000000000084
" So let me now apply this to a current controversy, not because I want to advocate any particular solution,but just to illustrate the kind of thing I mean.",940.7769999999999,950.394,9.617000000000075
And the controversy is global warming. ,950.418,952.834,2.41599999999994
"Now, I'm a physicist, but I'm not the right kind of physicist.",952.858,955.8629999999999,3.0049999999999955
"In regard to global warming, I'm just a layman.",955.887,959.674,3.7870000000000346
 And the rational thing for a layman to do is to take seriously the prevailing scientific theory.,959.698,967.001,7.302999999999997
" And according to that theory, it's already too late to avoid a disaster, because, if it's true that our best option at the moment is to prevent CO2 emissions with something like the Kyoto Protocol,  with its constraints on economic activity and its enormous cost of hundreds of billions of dollars, or whatever it is,then that is already a disaster by any reasonable measure.",967.025,990.915,23.889999999999986
" And the actions that are advocated are not even purported to solve the problem,merely to postpone it by a little. ",991.299,998.713,7.413999999999987
" So it's already too late to avoid it,  and it probably has been too late to avoid itever since before anyone realized the danger.",998.737,1007.275,8.538000000000011
" It was probably already too late in the 1970s, when the best available scientific theory was telling us that industrial emissions were about to precipitate a new ice age,in which billions would die. ",1007.299,1019.3639999999999,12.06499999999994
" Now, the lesson of that seems clear to me, and I don't know why it isn't informing public debate.",1020.17,1025.94,5.7700000000000955
It is that we can't always know. ,1025.964,1029.27,3.30600000000004
" When we know of an impending disaster  and how to solve it at a cost less than the cost of the disaster itself,then there's not going to be much argument, really.",1029.294,1039.564,10.269999999999982
 But no precautions and no precautionary principlecan avoid problems that we do not yet foresee.,1039.5880000000002,1048.269,8.680999999999813
" Hence, we need a stance of problem-fixing, not just problem-avoidance. ",1048.9270000000001,1055.981,7.05399999999986
" And it's true that an ounce of prevention equals a pound of cure,but that's only if we know what to prevent.",1056.5700000000002,1062.9060000000002,6.336000000000013
" If you've been punched on the nose,  then the science of medicine does not consist ofteaching you how to avoid punches. ",1062.93,1069.488,6.557999999999993
" (Laughter)  If medical science stopped seeking cures and concentrated on prevention only,then it would achieve very little of either.",1069.5120000000002,1078.605,9.092999999999847
 The world is buzzing at the moment with plans to force reductions in gas emissions at all costs.,1078.6290000000001,1085.4750000000001,6.846000000000004
" It ought to be buzzing with plans to reduce the temperature and with plans to live at the higher temperature --and not at all costs, but efficiently and cheaply.",1085.856,1096.366,10.509999999999991
" And some such plans exist,  things like swarms of mirrors in space to deflect the sunlight awayand encouraging aquatic organisms to eat more carbon dioxide.",1096.39,1106.141,9.750999999999976
" At the moment, these things are fringe research; they're not central to the human effort to face this problemor problems in general. ",1106.1650000000002,1114.487,8.321999999999889
" And with problems that we are not aware of yet, the ability to put right -- not the sheer good luck of avoiding indefinitely -- is our only hope, not just of solving problems,but of survival. ",1114.8580000000002,1128.087,13.228999999999814
" So, take two stone tablets and carve on them. ",1128.5690000000002,1135.037,6.467999999999847
" On one of them, carve: ""Problems are soluble."" ",1135.9720000000002,1140.278,4.305999999999813
" And on the other one, carve: ""Problems are inevitable."" ",1140.621,1144.7230000000002,4.102000000000089
Thank you. ,1145.3020000000001,1146.46,1.1579999999999018
